Año;Mes;División;Grupo;Clase;Subclase;Producto;Glosa;Ponderación;Índice;Variación Mensual ( % );Variación Acumulada ( % );Variación 12 Meses ( % );Incidencia Mensual ( % );Incidencia Acumulada ( % );Incidencia 12 Meses ( % ),,,,,,,,,,,
2014;1;1;1;4;;;PRODUCTOS LÁCTEOS, QUESOS Y HUEVOS;2,3217;103,30;-0,5;-0,5;;-0,011;-0,011;,,,,
2014;1;3;1;4;;;LIMPIEZA Y REPARACIÓN DE VESTUARIO;0,07636;103,8;0,4;0,4;;0,000;0,000;,,,,,
2014;1;9;1;4;;;MEDIOS PREGRABADOS Y PARA GRABACIÓN;0,12223;98,95;0,1;0,1;;0,000;0,000;,,,,,
2014;1;7;2;4;;;OTROS SERVICIOS RELATIVOS A VEHÍCULOS DE TRANSPORTE PERSONAL;0,58711;104,42;3,1;3,1;;0,018;0,018;,,,,,
2014;1;9;2;4;;;MASCOTAS Y PRODUCTOS RELACIONADOS;0,49726;101,82;0,7;0,7;;0,003;0,003;,,,,,
2014;1;1;1;5;;;ACEITES Y GRASAS;0,58723;101,72;0,5;0,5;;0,003;0,003;,,,,,
2014;1;9;2;5;;;SERVICIOS VETERINARIOS;0,10615;103,21;0,7;0,7;;0,001;0,001;,,,,,
2014;1;1;1;6;;;FRUTAS;0,94256;115,4;0,2;0,2;;0,002;0,002;,,,,,
2014;1;1;1;7;;;HORTALIZAS, LEGUMBRES Y TUBÉRCULOS;2,63919;99,83;-3,5;-3,5;;-0,094;-0,094;,,,,
2014;1;1;1;8;;;AZÚCAR, MERMELADA, MIEL, CHOCOLATE Y DULCES DE AZÚCAR;0,93648;101,04;0,0;0,0;;0,000;0,000;,,
2014;1;1;1;9;;;OTROS PRODUCTOS ALIMENTICIOS;0,68113;101,91;0,6;0,6;;0,004;0,004;,,,,,
2014;1;1;1;1;1;;ARROZ;0,20255;99,95;-0,3;-0,3;;-0,001;-0,001;,,,,,
2014;1;2;1;1;1;;DESTILADOS;0,47122;104,06;0,0;0,0;;0,000;0,000;,,,,,
2014;1;3;1;1;1;;TELAS PARA CONFECCIÓN DE VESTUARIO;0,04405;99,98;0,2;0,2;;0,000;0,000;,,,,,
2014;1;4;1;1;1;;ARRIENDO EFECTIVO;4,16621;102,66;0,6;0,6;;0,025;0,025;,,,,,
2014;1;5;1;1;1;;MUEBLES PARA EL HOGAR;0,92352;100,21;1,0;1,0;;0,009;0,009;,,,,,
2014;1;6;1;1;1;;MEDICAMENTOS;1,87376;102,43;1,5;1,5;;0,027;0,027;,,,,,
2014;1;7;1;1;1;;AUTOMÓVIL NUEVO;4,05431;102,9;1,3;1,3;;0,054;0,054;,,,,,
2014;1;8;1;1;1;;EQUIPOS TELEFÓNICOS;0,40978;87,31;0,0;0,0;;0,000;0,000;,,,,,
2014;1;9;1;1;1;;TELEVISORES;0,59118;92,65;2,4;2,4;;0,012;0,012;,,,,,
2014;1;10;1;1;1;;SERVICIOS DE EDUCACIÓN PRE - ESCOLAR Y ENSEÑANZA BÁSICA;2,11003;101,1;0,0;0,0;;0,000;0,000;,,,,,
2014;1;11;1;1;1;;ALIMENTOS Y BEBESTIBLES CONSUMIDOS FUERA DEL HOGAR;3,13309;104,61;0,6;0,6;;0,018;0,018;,,,,,
2014;1;12;1;1;1;;SERVICIOS DE PELUQUERÍA Y CUIDADO PERSONAL;0,40648;102,77;0,4;0,4;;0,002;0,002;,,,,,
2014;1;1;2;1;1;;CAFÉ Y SUCEDÁNEOS;0,15833;101,57;0,6;0,6;;0,001;0,001;,,,,,
2014;1;2;2;1;1;;CIGARRILLOS;1,51213;106,43;0,0;0,0;;0,000;0,000;,,,,,
2014;1;3;2;1;1;;CALZADO PARA HOMBRE;0,39457;90,59;-1,8;-1,8;;-0,006;-0,006;,,,,,
